token,command,L2_0.5,L2_1.0,L2_1.5,L2_2.0,L2_2.5,L2_3.0,l2_1s,l2_2s,l2_3s,col_0.5,col_1.0,col_1.5,col_2.0,col_2.5,col_3.0,col_any
3e8750f331d7499e9b5123e9eb70f2e2,0,0.26450404545215,0.6328929774634772,1.0426580296335917,1.3849970018001525,1.789865103025641,2.483700652157153,0.6328929774634772,1.3849970018001525,2.483700652157153,0,0,0,0,0,0,0
3950bd41f74548429c0f7700ff3d8269,0,0.0822081751955103,0.30648343624992436,0.6558900593381287,1.217465912289261,1.9870818094750728,3.0308656276831476,0.30648343624992436,1.217465912289261,3.0308656276831476,0,0,0,0,0,0,0
c5f58c19249d4137ae063b0e9ecd8b8e,0,0.1489290442608221,0.42617747386815885,1.0429368602902198,1.4840915952602884,2.2972274330926794,3.203644534046198,0.42617747386815885,1.4840915952602884,3.203644534046198,0,0,0,0,0,0,0
700c1a25559b4433be532de3475e58a9,0,0.0794046654351861,0.40656256074090613,0.9399435618746511,1.551608815395562,2.3340579863548356,3.2264099153417996,0.40656256074090613,1.551608815395562,3.2264099153417996,0,0,0,0,0,0,0
747aa46b9a4641fe90db05d97db2acea,2,0.0873695262002812,0.286541485235777,0.7767982851771894,1.1437716839784853,1.7291830174026712,2.3626638081415994,0.286541485235777,1.1437716839784853,2.3626638081415994,0,0,0,0,0,0,0
f4f86af4da3b49e79497deda5c5f223a,2,0.13459414863965627,0.5239014414907759,0.9680471932432629,1.3630306704482558,1.9582803545093013,2.005668196731968,0.5239014414907759,1.3630306704482558,2.005668196731968,0,0,0,0,0,0,0
6832e717621341568c759151b5974512,2,0.11380731947410637,0.26374737580710483,0.373669001937043,0.5869052093727253,0.3005917881373609,0.6818651001434837,0.26374737580710483,0.5869052093727253,0.6818651001434837,0,0,0,0,0,0,0
c59e60042a8643e899008da2e446acca,2,0.23104991881208164,0.33192892147653186,0.45371573375637725,0.04115865476109921,0.9906989145260224,3.1370660181066112,0.33192892147653186,0.04115865476109921,3.1370660181066112,0,0,0,0,0,0,0
fa65a298c01f44e7a182bbf9e5fe3697,2,0.01834858060515602,0.03257392456830159,0.5947137577017538,1.8197344117792515,4.160515666804943,6.627612908788157,0.03257392456830159,1.8197344117792515,6.627612908788157,0,0,0,0,0,0,0
a98fba72bde9433fb882032d18aedb2e,2,0.014018320865617266,0.4904165127992063,1.5742720340628094,3.8219515124932233,6.2326598353832265,9.179154052748835,0.4904165127992063,3.8219515124932233,9.179154052748835,0,0,0,0,0,0,0
b6b0d9f2f2e14a3aaa2c8aedeb1edb69,2,0.02355329208440199,0.4781862626454372,1.9781972224552193,3.473310609720973,5.426617941646305,7.95293231873599,0.4781862626454372,3.473310609720973,7.95293231873599,0,0,0,0,0,0,0
